station_name,count_average,count_week_2010-06-04,count_week_2010-06-11,count_week_2010-06-18,count_week_2010-06-25,count_week_2010-07-02,count_week_2010-07-09,count_week_2010-07-16,count_week_2010-07-23,count_week_2010-07-30,count_week_2010-08-06,count_week_2010-08-13,count_week_2010-08-20,count_week_2010-08-27,count_week_2010-09-03,count_week_2010-09-10,count_week_2010-09-17,count_week_2010-09-24,count_week_2010-10-01,count_week_2010-10-08,count_week_2010-10-15,count_week_2010-10-22,count_week_2010-10-29,count_week_2010-11-05,count_week_2010-11-12,count_week_2010-11-19,count_week_2010-11-26,count_week_2010-12-03,count_week_2010-12-10,count_week_2010-12-17,count_week_2010-12-24,count_week_2010-12-31,count_week_2011-01-07,count_week_2011-01-14,count_week_2011-01-21,count_week_2011-01-28,count_week_2011-02-04,count_week_2011-02-11,count_week_2011-02-18,count_week_2011-02-25,count_week_2011-03-04,count_week_2011-03-11,count_week_2011-03-18,count_week_2011-03-25,count_week_2011-04-01,count_week_2011-04-08,count_week_2011-04-15,count_week_2011-04-22,count_week_2011-04-29,count_week_2011-05-06,count_week_2011-05-20,count_week_2011-05-27,count_week_2011-06-03,count_week_2011-06-10,count_week_2011-06-17,count_week_2011-06-24,count_week_2011-07-01,count_week_2011-07-08,count_week_2011-07-15,count_week_2011-07-22,count_week_2011-07-29,count_week_2011-08-05,count_week_2011-08-12,count_week_2011-08-19,count_week_2011-08-26,count_week_2011-09-02,count_week_2011-09-09,count_week_2011-09-16,count_week_2011-09-23,count_week_2011-09-30,count_week_2011-10-07,count_week_2011-10-14,count_week_2011-10-21,count_week_2011-10-28,count_week_2011-11-04,count_week_2011-11-11,count_week_2011-11-18,count_week_2011-11-25,count_week_2011-12-02,count_week_2011-12-09,count_week_2011-12-16,count_week_2011-12-23,count_week_2011-12-30,count_week_2012-01-06,count_week_2012-01-13,count_week_2012-01-20,count_week_2012-01-27,count_week_2012-02-03,count_week_2012-02-10,count_week_2012-02-17,count_week_2012-02-24,count_week_2012-03-02,count_week_2012-03-09,count_week_2012-03-16,count_week_2012-03-23,count_week_2012-03-30,count_week_2012-04-06,count_week_2012-04-13,count_week_2012-04-20,count_week_2012-04-27,count_week_2012-05-04,count_week_2012-05-11,count_week_2012-05-18,count_week_2012-05-25,count_week_2012-06-01,count_week_2012-06-08,count_week_2012-06-15,count_week_2012-06-22,count_week_2012-06-29,count_week_2012-07-06,count_week_2012-07-13,count_week_2012-07-20,count_week_2012-07-27,count_week_2012-08-03,count_week_2012-08-10,count_week_2012-08-17,count_week_2012-08-24,count_week_2012-08-31,count_week_2012-09-07,count_week_2012-09-14,count_week_2012-09-21,count_week_2012-09-28
42ND STREET & GRAND CENTRAL,734181.29752066114,644330,760955,750294,751094,723416,631834,750913,751150,741970,729273,725827,706682,691069,693522,629106,753363,765472,755109,758852,739977,763978,758175,766620,759013,760986,580306,762363,796526,797176,658028,533907,714144,698463,669100,702960,725083,747550,733843,664583,742923,763240,752448,761608,749386,762232,762606,728106,738639,749492,776727,739226,648319,757011,774012,766830,740477,641092,756621,759141,763368,749907,737901,711989,689993,559646,688245,753446,812693,607187,771126,742562,786025,792758,770026,773435,791174,610532,780827,824234,825866,761933,574206,687759,745867,688965,751266,746274,761571,751787,674679,760088,756114,756347,760413,567582,736899,753451,761056,777023,775036,766046,698662,758942,655140,796961,796343,790650,795512,627474,771460,801843,791568,783498,764646,749271,720503,725252,688447,775686,770834,798795
42ND STREET/TIMES SQUARE,580538.54545454541,537012,585046,596044,599621,603008,543737,595714,621433,622014,614659,619910,600334,572609,575635,552955,586132,587442,563836,579554,594755,594758,604732,595062,600650,595670,533163,572448,607414,601672,588982,457504,561900,503049,482564,471160,492660,509104,547678,519294,534140,553813,573296,560080,546331,565717,571214,603172,572429,571774,577269,573348,538030,580031,592440,604308,605708,553154,608374,612779,612510,614138,619298,594510,581185,460159,568836,596681,619792,463584,597572,591750,603505,616137,586150,611786,595460,527469,589188,626982,634100,637977,566852,526316,543154,505786,520730,541479,554043,564444,560065,562699,579747,609346,609608,443569,610821,628334,607907,607703,614094,613858,549055,617365,578239,629847,624779,624392,630578,564358,631668,641253,659464,638924,629228,623129,610924,597031,577155,608751,597488,603891
45TH ROAD-COURT HOUSE SQ,36230.542372881355,35323,38254,37336,40485,37411,34998,38180,42645,43169,39550,42049,37940,40970,39380,36940,39254,39139,42611,38342,38513,42713,40363,44454,41043,42225,34556,36097,36105,35027,30711,21611,32551,32943,33448,32787,35104,41629,41218,41388,41666,41545,35209,38149,38583,39929,38746,35790,35749,40095,39042,32793,35596,25174,23784,24025,20710,20591,27265,24699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45TH STREET-4TH AVENUE,40646.36363636364,37223,38236,39680,39986,40125,37944,38626,39603,39416,38816,38554,36928,37542,38716,37126,40743,40461,38192,39960,39094,39854,40401,37417,40151,39895,35627,39159,40939,40433,39580,36318,38953,39286,37589,38647,41075,41406,41018,38140,41077,40513,40844,41471,41108,41051,41691,38432,39468,41903,40127,41162,38934,40745,40864,40196,40497,37951,41617,40593,40493,40597,40241,37664,39052,30492,39068,45217,45785,33444,45379,43762,45686,46056,44891,44930,45848,40613,45266,46066,46164,46216,35936,39739,42751,40928,41683,44261,44325,44286,40266,44290,45205,45119,45019,34185,43240,40071,44634,44244,44432,44430,38718,43912,38420,43706,41104,40065,40849,38159,40509,38856,40424,39429,39792,39234,38858,40181,38495,41785,40214,40423
46TH ST-BLISS ST,84436.933884297527,80723,85046,84517,85780,84714,79252,83822,84782,84736,83930,82500,82126,81503,84125,80093,86295,87875,85470,87310,85266,86027,87353,87305,86698,87350,78016,83486,85994,84352,81211,70891,78348,80612,78714,80004,85632,85946,86262,80184,85605,84336,83797,85267,84287,84431,85637,82531,83953,86394,85529,84552,81205,87289,87453,87823,88179,81428,85617,83886,82988,85500,85291,80312,83862,68453,82000,92118,89311,69004,88538,82811,87399,91428,87024,87747,87132,76882,88754,88580,88852,89463,73377,79861,85921,81588,82904,87633,88452,86360,80373,86791,88972,88213,89900,66462,86851,85368,90720,88855,89768,91284,77819,90504,85381,89460,86167,85133,86380,80064,85307,85850,87762,81583,82802,83753,81377,85274,82010,88045,87570,88077
46TH STREET-BROADWAY,53126.008264462813,47231,51595,51278,51369,50900,45933,51292,50320,49424,49267,49014,48138,47719,49257,47340,53306,53856,52609,53851,52663,54949,55684,54147,54056,54796,47232,52858,55008,54209,50782,39241,49197,49740,48566,48370,52087,52259,53380,48187,52727,52723,54422,53441,53534,54110,54309,50743,49914,51317,50071,50329,48132,52890,52038,53200,53358,46724,52185,51543,50708,51101,50156,49159,49982,41003,50396,59694,58759,44915,59514,57359,60582,61546,58997,58524,60369,51508,58986,61526,61872,59847,41950,51530,57251,53791,53835,57480,58926,58398,51483,57979,59792,59767,60721,45749,58042,53153,59779,59071,59271,59868,52770,59327,53777,58858,53948,54413,55084,48061,54614,53785,52933,52889,51514,51305,50929,52881,51344,56090,54862,55704
47-50 STREETS/ROCKEFELLER,319807.04958677688,267453,311476,316388,309358,298900,246206,300150,315266,312832,307086,313238,302139,296921,286096,247584,308369,305329,311597,318293,316159,326590,318434,333604,328533,336503,277692,361376,401057,402348,387138,303772,331221,302498,282377,290405,297703,316597,316289,290708,313422,326758,328072,326452,318292,329221,325501,317103,318096,320039,330474,316897,266203,316740,332371,325616,316813,259537,320740,327021,333696,332839,333226,321897,314031,255962,299579,332434,342684,259893,340066,324087,344521,346626,336414,344165,354807,291056,380635,423359,423998,427864,381993,336394,333506,304013,320843,318443,323446,325236,296393,309991,319701,323422,323598,247890,326608,324593,332996,343329,341050,339075,292539,333928,271717,333874,338862,333163,332874,246382,315713,340235,314641,325055,321448,325181,307002,297505,277581,314100,310709,296732
49TH STREET & 7TH AVENUE,151850.81818181818,140510,158608,155386,155736,151430,138168,152435,158091,157221,156618,158344,150979,146916,143491,136970,152275,155420,155984,153892,156686,156410,157389,155954,157520,153277,139694,154642,169707,170630,157689,128179,152845,135332,116442,127641,129623,137763,143367,136886,144051,151819,160179,145730,150438,152805,151931,159675,153788,149870,153427,153797,136533,151760,155456,156379,156011,138889,152115,153955,146977,157061,156677,149912,144066,111319,142748,150698,159983,120220,153639,155774,163529,157059,156265,162219,162800,141237,159816,175382,176601,174506,156914,143770,148758,137903,143962,145451,145931,148495,144837,154111,153648,163244,159429,117215,163565,161286,159069,162873,160004,158071,145383,160530,146535,163043,164190,162176,163486,142080,159111,163979,168121,162101,159824,155526,153201,147918,140051,152398,153275,159239
4TH AVENUE-9TH STREET,70825.173553719011,60205,65787,66983,66167,66057,58575,64654,64001,63781,64086,62363,60585,60634,62498,59169,67626,68079,65284,67430,65509,68418,67548,67604,70659,69366,56471,63199,67329,68553,59146,47536,62843,64323,63483,61969,67791,67099,66953,60097,66514,66742,67055,66522,65893,67661,68185,63227,64028,67982,68873,74137,63556,68402,69413,72958,73517,65049,72823,71275,71418,71629,69643,68124,68522,55007,68186,79352,83518,61000,81029,77603,81135,81735,79276,82426,84236,69791,77509,81384,81895,77613,53065,70457,77286,72537,75609,80107,79882,77900,70690,78644,79330,79178,80861,60109,83593,72846,79664,79188,81306,82567,70368,81353,74511,82288,78449,77277,78682,70191,76212,75787,77659,75740,75439,75733,74249,76204,72560,84314,78780,83528
50TH STREET & 7TH AVENUE,141284.11570247935,128905,145504,139053,147429,141081,128073,146171,147075,145610,132712,129672,135066,129808,127773,121535,140916,136223,138174,141930,141403,143563,141706,131123,129226,134148,108841,139831,157086,154971,136531,117584,136062,125536,115970,121549,115054,119481,120515,122244,132805,139712,142006,142327,140862,144675,141939,143131,140122,142173,147667,139302,122765,140827,144401,144949,142666,126902,144467,144788,143949,145446,142228,136689,131740,102214,128735,148593,160051,116791,152533,147552,159443,159226,152154,156182,156925,131412,155382,170252,170892,163716,132936,133451,147867,130769,139877,143275,145271,143886,131797,148125,148677,155087,149500,114158,151154,147975,154054,160608,156378,155410,143718,155696,139861,158011,154347,153196,152341,125998,152260,152868,155853,153120,149162,147532,140538,135700,132118,147398,147649,152032
50TH STREET-8TH AVENUE,99365.710743801654,90361,98268,98658,86770,95732,89301,92443,93200,89447,98704,91704,93529,88167,90697,84233,96852,98227,79908,95697,96411,95229,100519,97192,103468,98399,82142,94327,106055,106740,94242,93770,100551,92468,82933,86188,93282,89638,92227,84704,90464,95391,97497,101589,97400,94977,96665,99089,97653,99916,104581,101697,91894,101586,102996,102864,103157,96839,96910,101063,99924,100302,95255,92011,86855,69533,88705,109295,110804,80379,99543,105439,102458,115559,111298,111046,111576,97413,107984,115654,116283,111798,91472,120779,90521,88848,97493,97997,102444,106809,90812,110794,111044,106924,110964,85781,113099,99553,101458,102241,109179,112670,96981,118360,109213,116571,109613,104551,111657,102041,97723,105628,109974,102064,104422,105787,99175,102927,96460,108030,106259,109208
50TH STREET-NEW UTRECHT AVE,15758.363636363636,16506,16040,17362,17153,15494,15422,15305,15531,15329,15909,15667,15821,15424,16672,13993,16526,14326,14211,16489,16763,17203,14073,15604,15993,16023,14518,16360,16439,15880,15516,14060,16495,16150,15935,15902,16932,16436,15963,14938,15830,16020,15716,15395,15983,16019,16554,12889,14013,15960,15202,15514,15589,14864,16346,16130,17384,14756,15394,15709,15192,14933,14015,13715,14138,13218,14496,16317,16674,10884,15994,13506,14170,16110,15215,15213,15627,13928,16413,15909,15806,15245,13431,14190,14790,14400,16278,18170,17546,17050,15412,16264,15945,17875,17571,13720,16580,15251,17123,17594,17311,17984,16107,18393,16283,18353,17010,16657,16996,14559,15846,15825,15849,16171,16059,15866,16446,17073,16199,18053,15049,15135
51ST STREET & LEXINGTON AVE,130146.61983471074,114877,133585,131502,122435,127256,109493,120119,131871,131599,127708,129418,124321,122447,117541,110002,132266,136686,131434,132018,128840,137154,134190,137936,137965,136813,106273,134271,146643,147811,126023,107860,125456,122034,114529,120888,122834,128184,127905,118156,126948,133350,133788,131019,128801,134495,133413,131827,134433,135792,136113,130821,111473,134450,139056,133975,133564,114886,137380,134484,137643,134076,134939,130103,126784,101100,124904,138618,149334,136203,142024,137979,147084,144732,142128,144107,145457,111004,142289,155665,100676,141376,113637,125048,128268,120070,126665,126533,118429,129563,119265,131012,129878,129762,132402,99377,132070,133377,137871,139869,141147,138379,129905,138769,120501,143899,141620,140397,141040,111014,138121,141921,140878,129798,127130,132290,120514,123013,118436,135786,134929,138522
52ND STREET-ROOSEVELT AVE,38927.314049586777,35334,37162,37666,38111,38051,35152,37956,38650,37713,37248,36613,36685,36351,37791,36287,39598,40713,39220,40397,39264,38925,39794,39629,39680,39659,34401,38213,39496,38237,36059,30995,35554,36074,35456,35998,39259,39286,39598,36951,39130,38817,38832,39542,39370,38963,40139,38728,39180,40274,40013,39090,37181,40085,40734,40894,40256,36583,39187,38838,38576,39125,39162,36756,38689,31343,37885,42622,40844,32544,40700,38571,40981,42289,39931,40076,40541,35121,41299,41303,40722,41260,33940,37183,40153,38294,39331,41383,41007,40689,37972,40756,41846,42521,43138,31686,41424,41040,43063,42180,39509,43380,37465,43006,40121,42333,39921,39594,39965,36323,39133,40120,40573,38009,38517,38933,37047,40237,38254,41575,40909,42273
53RD STREET-4TH AVENUE,41637.966942148763,37813,39441,40199,40054,40941,38267,40567,40698,39918,39657,39822,38195,38904,40249,38569,41858,41190,38975,40789,40373,41589,41780,38859,41862,41707,37294,41310,42176,41364,40225,39819,40257,40131,38723,39563,42759,42839,42667,40272,42199,41922,42387,41953,41984,42211,42062,39232,40108,41904,39829,41198,39372,41920,41686,41956,41881,39423,42598,41940,41484,41713,40740,39352,40454,33201,39969,45380,45777,34563,45430,43879,45290,45934,44733,45101,45883,40646,45246,45905,45735,45413,36734,39842,43153,40999,41613,44786,45824,45169,40790,45221,45554,45560,46288,34665,43958,41173,45340,44650,44791,45218,39531,45379,42037,44786,42027,42284,42936,39928,42065,42026,41613,40973,41660,40593,41107,41420,40038,42768,41073,41354
55TH ST-NEW UTRECHT AVE,10291.785123966942,10562,10380,10906,10830,9552,9335,9406,9166,9493,9713,9895,9539,9794,10923,8515,10559,8981,8566,10658,10881,11701,9762,10991,11275,11155,9946,11722,12213,11860,11204,10252,11959,11604,11173,11281,12187,11973,11205,10500,11448,11443,11175,10877,11292,11560,11913,8859,9440,10933,10999,10747,10881,9987,11378,11259,11855,9767,10420,10506,10402,9951,8974,9177,9345,9175,9807,11082,11591,7214,10895,8706,9215,10973,10787,10592,10978,9417,11334,10788,10917,10485,9463,9833,10044,9226,10447,10922,10826,10524,9475,10177,9762,10769,10774,8231,9892,8861,10219,10637,10536,10870,9792,11232,9580,11266,10199,10324,9849,8435,9249,8988,9066,9159,9213,8886,9275,9939,9821,11180,8955,9249
57TH STREET & 7TH AVENUE,160075.47933884297,152038,169245,168719,168042,159718,142516,157970,160373,158174,156618,156167,151138,148409,152570,142228,164563,166453,167522,172866,167411,171840,172667,169929,175751,174058,141645,163048,175791,170884,149357,109779,151705,148708,135844,147685,156833,160316,161474,150414,161197,162831,165218,157898,159309,165526,165257,156801,159831,166749,167573,163890,144298,160763,161439,163528,158479,139343,159569,157902,149009,154062,154842,148039,145962,119208,147902,166318,177188,126318,167607,167650,172843,168744,172960,181989,179462,146537,165733,180918,179635,166933,124331,148775,156806,148243,158239,163715,168590,166314,153230,167991,170167,172844,175034,127553,170680,163624,174179,172923,173866,171805,153601,175459,153902,171799,166750,163936,165744,140942,161909,164467,171645,162361,159763,155509,152020,156178,149234,170059,165616,171602
57TH STREET-6TH AVENUE,84037.867768595039,76679,85888,87819,86871,82535,72753,83656,86033,86606,85074,86448,81595,81073,79463,74423,84011,85311,87618,87862,88929,90930,89476,94159,91587,91751,77387,88208,95028,93930,86824,74640,85048,79759,80192,78706,82798,87971,87631,83105,87110,90171,94600,93640,84421,83577,81478,84227,82817,88165,79440,85789,77860,90018,88724,79462,85137,73940,85210,78160,91191,89021,89972,87555,85797,67375,85553,83354,91612,70169,91706,84544,96848,94593,86583,88367,81969,70141,90569,98168,97570,97120,80441,86177,86786,80831,81416,80689,77164,82697,73373,75411,82231,85867,90495,64708,77894,86284,93432,91811,92722,89802,73388,79151,69528,84896,88494,88955,81667,70301,83560,86051,71541,83023,75207,82898,75543,75651,74959,84692,78592,76754
59TH STREET & LEXINGTON AVE,354985.11570247932,313689,350685,365734,360659,342987,289124,349288,355381,348315,342392,340729,329321,324915,326413,301855,353600,364527,357402,359828,356614,370255,363685,366269,379131,375620,304044,359797,387615,383405,359454,274738,330971,326411,310236,316804,331332,345743,352244,327325,348642,351830,369788,349662,353141,363725,359480,348062,350693,364092,370360,366686,325075,363994,376815,365634,361452,301753,368468,351222,346110,349873,349327,337157,336193,277071,334193,374584,395085,296980,391259,373124,389484,388565,381174,404823,402061,318594,378705,411335,415178,408828,304362,331798,358456,341745,347001,365531,384351,363959,339912,360910,367720,374850,381378,284534,369386,350496,383947,381882,384644,380933,343026,386767,332163,385876,388084,374637,376727,307159,358316,367004,367528,367903,361695,351080,350661,349324,327827,379197,366742,384874
59TH STREET-4TH AVENUE,67553.231404958671,62134,71360,66215,67222,66134,61294,64708,64810,64207,64177,63416,81484,62393,63562,61465,67315,66452,82279,66380,65467,68028,67493,87634,68011,68173,60551,66424,65736,65076,62433,63341,61183,61725,77613,61453,83268,65058,66325,59885,66102,66117,66978,66378,65807,66530,70243,61050,63779,65870,63384,64701,61297,64601,65969,66368,65768,59037,66420,64997,63057,63268,63150,62196,62784,51846,63152,71549,74122,54562,73608,70018,73767,74806,72566,73750,74876,65976,73759,76101,75348,73303,57509,63894,70322,66445,67411,72914,72855,71803,63632,72162,73553,73397,74438,55497,70746,66419,74209,72830,74417,74376,64443,74457,66915,72818,68215,68475,69234,63343,68440,67090,68598,67406,67422,66997,66888,67958,65390,71896,68555,69728
59TH STREET/COLUMBUS CIRCLE,384916.14876033057,334790,361906,369239,369844,360858,325607,360296,366066,359475,352621,343789,336855,333784,364625,340958,405440,409834,401913,411669,398446,416793,409388,405403,432982,413946,343605,394307,429317,412968,354626,275387,344009,326439,322099,333512,374707,382747,397070,350581,385523,393962,399771,397326,395813,407350,407533,376283,384962,411989,410146,394345,344708,381784,379758,379513,381648,342688,383014,369836,372853,367092,356018,343341,344943,296592,375528,442226,442362,315725,427902,419035,447668,444560,430851,458329,436667,364175,429833,451567,444914,414541,291132,357395,364674,346152,368408,411708,414784,410645,366934,408119,419948,418281,428614,319908,417895,382968,440922,429162,431805,428801,380239,425355,367479,409355,392833,386579,393252,340798,381121,383089,388113,377621,363084,362998,355724,386479,373881,439101,408258,418665
61ST STREET-ROOSEVELT AVE,95268.710743801654,92941,101030,98271,100493,99060,92250,97455,98285,97889,98004,97744,96478,93177,98500,91483,98655,99620,96967,98518,96562,98860,96763,95636,95506,96324,85023,92624,93837,90308,88556,76395,86708,86871,85346,84836,91356,91205,93167,84394,91656,92038,93961,92569,92989,95575,96827,90624,92214,97259,95505,96288,92925,99824,97775,99506,98400,91028,99325,98350,96388,96000,96451,93073,94286,76951,92567,105054,106018,79890,105504,99603,104394,103760,99731,101521,101873,88969,101692,103177,104134,100240,81557,88874,95899,90171,89978,95555,96109,93121,85437,93863,96359,97341,98936,72249,95883,92886,100118,99619,100263,101123,88143,102075,95904,103514,98719,98958,100207,92419,99226,97062,98576,92733,96720,96889,97540,98164,93259,101145,98814,99095
63RD DRIVE-REGO PARK,88454.826446280989,75071,82917,84804,83886,83424,75814,83438,84030,81246,83085,82412,82987,80851,83046,75666,87676,87991,84274,89824,86513,89604,88209,87967,88128,88976,79246,88667,90406,88740,91907,77375,83354,84758,81509,81131,88059,87495,88651,81108,88104,87944,90075,89011,88355,89663,90085,82759,85129,90914,87897,90597,82860,89237,89810,90909,90672,79775,89734,87815,87456,89422,87364,84881,86184,70781,82108,93518,93842,71306,96322,92125,95617,96240,95751,96726,95268,86502,97674,99024,100854,106624,84213,84836,91749,87102,89685,94306,94257,93351,88103,92889,95494,94116,97494,71622,91581,89345,96492,94558,95813,96832,84569,95619,89271,96383,94537,94132,93828,83759,91235,90592,90959,90699,90155,89085,89520,90153,85152,94907,91358,92104
63RD STREET-LEXINGTON AVE,79274.198347107435,75541,84016,86737,88119,81310,67905,85563,83484,82026,79344,79281,75417,79332,84640,73147,89831,93541,94321,92826,92223,97832,94916,97949,95683,98632,76863,85869,87363,83515,69560,50805,70896,69999,72573,70402,81878,84642,88193,80475,86470,88615,91069,91596,83220,80475,74831,70250,71555,84030,75267,80473,70584,80497,79818,71935,77076,64429,74168,67785,76876,75913,77759,74953,74596,65420,78651,84636,89004,65614,89427,78505,94026,94488,82853,86006,81950,59697,84801,90292,89375,81547,55468,68935,80911,75328,75194,80607,85898,79433,67228,77442,83618,85791,87197,65060,75656,70277,92103,90438,92165,89257,74629,76355,60557,76283,79874,81035,71768,61334,74811,74623,64663,72719,67155,69176,64813,72844,70523,84619,73046,76164
65TH STREET-BROADWAY,20114.07438016529,18158,19503,19186,19220,19232,17851,18936,19108,18826,18631,18753,18624,18161,18437,17507,19263,19858,19206,19720,19542,19933,19595,19651,19589,19534,17770,19388,19942,19641,19376,17421,18344,18864,17825,18152,19472,19624,19742,18304,19473,19609,20711,20302,19985,20486,20327,19093,19092,19740,18945,19637,18805,19957,19830,20398,20806,18549,19886,19661,19711,19877,19691,18970,18981,15414,18654,21546,21997,16747,22221,21643,22366,22218,21960,21858,22554,20370,22110,22315,22447,22446,18470,19497,20977,20168,20714,22278,22343,22420,20994,22420,22510,22737,22923,17162,21992,20994,22189,21935,22414,22642,19447,22136,20356,21726,21001,20971,21349,19573,20853,20793,21020,20890,20582,20401,20523,20240,19437,21209,21201,21039
66TH STREET-BROADWAY,122948.61983471074,105048,118356,111140,121325,115305,101700,111172,109933,106327,94214,93145,102443,95040,100838,102845,126784,114872,116033,123748,119612,122334,119452,115581,121648,121314,100640,123619,137926,137044,123247,102495,115040,116971,114124,118640,108691,116148,119201,115036,116125,116240,118140,121669,123008,122211,120348,116018,114308,121747,126828,120339,105863,117691,121976,116052,117739,104802,117497,109848,106457,107658,105005,98138,95870,81372,111053,145453,149409,109014,151047,141975,152169,154032,149214,154759,151618,130856,145924,157076,158408,154404,111747,131045,139585,133745,135169,140796,148466,152208,121289,142131,144376,138423,138881,110278,142115,120000,137539,148480,144902,147673,127665,145357,124708,141047,128577,124880,124535,111962,117721,118938,121529,118745,111911,108798,102493,109456,113054,135180,127129,135859
67TH AVENUE-QUEENS BLVD,49903.21487603306,41559,48035,48556,48249,47424,41379,47226,47261,46153,47014,47222,46929,46129,47300,41851,50527,49222,48556,51142,48603,50828,50236,49958,50329,50602,41654,49101,50984,49555,46140,41855,47709,48975,46583,47749,51590,51009,49102,45594,50365,50404,51176,50842,51030,51391,51373,45644,47752,50953,50365,50305,44958,49752,50358,50238,49797,42910,49682,48498,48093,49022,47733,46912,46511,39349,45183,56337,56650,41346,55642,52553,55913,57106,55291,54339,56201,45613,55855,57298,57319,56144,40545,48989,55298,50981,51939,55800,57020,56432,46771,56466,57313,55783,56884,44143,53191,47622,56606,57122,56654,56747,51427,56029,49099,55546,51039,50083,50598,43020,48927,48723,49310,48892,48974,48778,47721,48331,45545,51871,48681,49296
68TH STREET-HUNTER COLLEGE,185670.77685950414,149916,178346,186235,159054,166521,140182,153045,162757,163155,156384,156419,151182,163448,187587,150990,203830,219768,207559,211180,200881,212411,209469,210993,214781,211084,149622,202034,214413,201426,153085,110506,160457,160637,155308,167178,209769,204254,202597,176578,204746,206110,206578,203416,202710,207225,208222,160414,181740,206929,199712,189106,146902,185454,189222,179388,176804,144751,177251,165452,167776,162013,163070,154031,155225,160434,184748,228392,236555,152294,215981,207342,226905,227642,222521,227429,227061,161360,215758,230503,216597,186344,112555,154197,171578,161373,177062,217394,195145,204409,180054,215639,214495,210436,212999,160358,200172,160934,208833,216247,214577,216320,186796,200302,154347,198634,192254,181936,182628,141264,175680,174604,174532,159771,159811,159079,152201,193627,179167,221958,196466,209176
69TH STREET-ROOSEVELT AVE,29159.322314049587,28804,29940,29014,30170,30393,28768,30656,31111,30718,29643,29393,29098,29854,30398,29289,30681,31685,31056,31295,30145,30061,30423,30421,30470,30401,28063,29341,29419,28906,28590,24463,27127,27850,27435,27657,29235,29494,29898,28436,29739,29825,28774,29521,29147,29211,29504,28958,29355,29783,29271,28757,28445,29581,29738,30044,29736,28280,29716,29562,28867,29268,29421,27593,29105,22893,29123,31652,30065,23134,28884,26723,28568,30240,28207,28259,27932,25191,29366,29399,29129,30311,26050,27254,29332,28284,27641,29152,29006,29145,27233,29156,29599,30445,30264,22197,29862,29017,30889,31257,30844,31350,27289,31843,30280,31502,29545,29219,29953,27850,29439,29540,30204,27610,28782,28285,26899,30089,29391,30627,30645,31231
71ST AVE-CONTINENTAL AVE,135463.09090909091,124791,138268,139820,136749,137221,118964,132494,133696,133537,131754,130016,129337,127734,130215,115139,139491,137033,130708,139575,135436,141039,140555,139477,141471,140598,118250,136264,139585,136763,130408,107006,127643,128638,122843,123100,133788,135092,137440,124548,136481,136141,139172,137390,137425,139010,140290,126445,129236,141900,136167,138942,125614,138026,140037,138916,140304,120448,138152,134738,134492,136127,134512,129844,130294,109755,124631,147250,146916,109676,146781,136722,144322,147746,144460,146793,147800,124785,145527,146847,148422,146701,115075,127214,139962,130820,135185,144245,145653,143798,131594,143841,147049,148023,149895,111496,143666,142816,148730,146005,147164,149230,129235,146195,129135,147906,142856,138231,140734,121398,136048,135913,138005,136026,133667,133888,132154,132831,124266,141159,132959,135244
71ST STREET-NEW UTRECHT AVE,21664.575000000001,23039,23847,24323,21560,23614,23110,24621,22035,23327,24198,24157,24196,20827,25418,24778,25430,24634,24567,24184,24958,26817,20606,24051,25939,25517,23064,26683,25311,24571,24413,22876,24733,24258,23176,22832,24388,24633,24273,24003,26036,26074,25292,22583,20435,23809,24101,19686,21312,18844,19338,18846,22243,24275,24176,23733,25546,23274,25267,25051,9426,22070,18389,19564,20440,17159,13738,15839,17915,13720,13665,14489,,1305,16172,19745,18813,16496,22642,19520,16926,18787,28686,21456,21734,17939,21182,23903,23415,21534,18116,22597,21374,23564,22196,17798,18801,22107,21035,24371,23861,24450,21941,26061,23435,25122,20146,22972,19143,18256,18871,18911,18415,17711,17770,17726,19451,20693,18331,23697,22579,22691
72ND STREET & BROADWAY,232354.26446280992,207532,223729,233049,224451,224744,193441,211716,232575,227029,214760,210895,203678,196039,197474,190279,225164,234281,228895,226677,221563,233613,235948,239983,252261,243604,217442,221583,240568,239100,215047,171796,218806,220397,210918,220277,231381,233038,232471,212891,230116,231904,236507,233145,230361,238007,239037,226287,226304,241076,248178,242460,219102,239452,246688,242439,243604,212526,235051,226977,222894,228545,225997,215074,216498,172581,214043,247377,260647,186332,252956,246060,257071,259915,258720,273631,258331,227551,244205,259978,265663,246721,184588,226820,240097,228671,233580,244138,247642,243985,226539,242051,248837,253842,255825,184267,253773,236495,258309,254502,260426,260830,229288,261150,237244,262199,254767,247436,245960,219801,238217,238713,245090,237873,230958,225098,224779,225270,219235,249445,240133,247887
